participant_id,participant_login,episode_id,n_targets,n_banners,RTs,speed,response_window,start_times,delta_orientation,nb_targets_retrieved,nb_distractor_retrieved,F1_score,secondary_answers,secondary_ratio,idle_time,date
707,bot,374780,2,4,"[0, 0, 0, 0]",2.0,1300.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.017444+00:00
707,bot,374781,2,3,"[0, 0, 0]",3.5,532.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.074362+00:00
707,bot,374782,4,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.099370+00:00
707,bot,374783,4,1,[0],1.5,1040.0,[0],45.0,4,8,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.105467+00:00
707,bot,374784,4,3,"[0, 0, 0]",2.0,1300.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.117779+00:00
707,bot,374785,1,4,"[0, 0, 0, 0]",3.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.211672+00:00
707,bot,374786,1,4,"[0, 0, 0, 0]",1.0,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.241996+00:00
707,bot,374787,1,4,"[0, 0, 0, 0]",3.0,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.327907+00:00
707,bot,374788,3,3,"[0, 0, 0]",3.0,666.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.347022+00:00
707,bot,374789,3,1,[0],3.0,666.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.380517+00:00
707,bot,374790,3,4,"[0, 0, 0, 0]",2.0,532.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.400557+00:00
707,bot,374791,4,1,[0],2.0,832.0,[0],45.0,4,8,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.417125+00:00
707,bot,374792,4,3,"[0, 0, 0]",2.0,1300.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.423653+00:00
707,bot,374793,4,1,[0],1.5,1300.0,[0],45.0,4,8,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.430851+00:00
707,bot,374794,2,3,"[0, 0, 0]",3.0,532.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.441225+00:00
707,bot,374795,2,3,"[0, 0, 0]",3.5,532.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.451994+00:00
707,bot,374796,2,4,"[0, 0, 0, 0]",1.0,666.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.466210+00:00
707,bot,374797,1,4,"[0, 0, 0, 0]",3.0,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.473782+00:00
707,bot,374798,1,4,"[0, 0, 0, 0]",2.5,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.492993+00:00
707,bot,374799,1,4,"[0, 0, 0, 0]",2.0,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.515046+00:00
707,bot,374800,3,4,"[0, 0, 0, 0]",3.0,832.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.533425+00:00
707,bot,374801,3,2,"[0, 0]",2.5,532.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.541177+00:00
707,bot,374802,3,3,"[0, 0, 0]",3.5,532.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.556579+00:00
707,bot,374803,4,3,"[0, 0, 0]",2.5,832.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.571997+00:00
707,bot,374804,4,3,"[0, 0, 0]",1.5,832.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.593802+00:00
707,bot,374805,4,2,"[0, 0]",2.0,832.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.637614+00:00
707,bot,374806,2,1,[0],3.0,666.0,[0],45.0,2,10,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.657679+00:00
707,bot,374807,2,2,"[0, 0]",1.5,832.0,"[0, 0]",45.0,2,10,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.668267+00:00
707,bot,374808,2,4,"[0, 0, 0, 0]",3.0,532.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.675532+00:00
707,bot,374809,1,4,"[0, 0, 0, 0]",1.0,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.690072+00:00
707,bot,374810,1,4,"[0, 0, 0, 0]",3.0,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.717958+00:00
707,bot,374811,1,4,"[0, 0, 0, 0]",3.5,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.742775+00:00
707,bot,374812,3,1,[0],1.5,532.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.759151+00:00
707,bot,374813,3,1,[0],2.0,1300.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.765262+00:00
707,bot,374814,3,3,"[0, 0, 0]",3.0,666.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.771490+00:00
707,bot,374815,4,4,"[0, 0, 0, 0]",2.0,1300.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.778742+00:00
707,bot,374816,4,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.789582+00:00
707,bot,374817,4,3,"[0, 0, 0]",2.5,666.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.799940+00:00
707,bot,374818,1,4,"[0, 0, 0, 0]",1.0,832.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.806536+00:00
707,bot,374819,1,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.814974+00:00
707,bot,374820,1,4,"[0, 0, 0, 0]",3.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.822432+00:00
707,bot,374821,2,3,"[0, 0, 0]",2.5,1040.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.830920+00:00
707,bot,374822,2,4,"[0, 0, 0, 0]",2.0,666.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.837427+00:00
707,bot,374823,2,3,"[0, 0, 0]",3.5,832.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.851839+00:00
707,bot,374824,5,1,[0],1.5,1300.0,[0],45.0,5,7,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.867948+00:00
707,bot,374825,5,2,"[0, 0]",1.0,1300.0,"[0, 0]",45.0,5,7,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.873685+00:00
707,bot,374826,5,1,[0],1.5,1040.0,[0],45.0,5,7,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.882344+00:00
707,bot,374827,5,1,[0],1.0,1300.0,[0],45.0,5,7,1.0,[1],1.0,1757.0,2023-12-07 14:52:42.889109+00:00
707,bot,374828,5,2,"[0, 0]",2.0,1040.0,"[0, 0]",45.0,5,7,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:42.897523+00:00
707,bot,374829,5,3,"[0, 0, 0]",1.0,1040.0,"[0, 0, 0]",45.0,5,7,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.905078+00:00
707,bot,374830,1,4,"[0, 0, 0, 0]",3.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.914317+00:00
707,bot,374831,1,4,"[0, 0, 0, 0]",2.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.921470+00:00
707,bot,374832,1,4,"[0, 0, 0, 0]",2.5,532.0,"[0, 0, 0, 0]",45.0,1,11,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.933279+00:00
707,bot,374833,4,4,"[0, 0, 0, 0]",1.0,666.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.969764+00:00
707,bot,374834,4,4,"[0, 0, 0, 0]",3.0,1300.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:42.998766+00:00
707,bot,374835,4,4,"[0, 0, 0, 0]",2.5,666.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.005892+00:00
707,bot,374836,3,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.017852+00:00
707,bot,374837,3,3,"[0, 0, 0]",3.5,832.0,"[0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.024720+00:00
707,bot,374838,3,4,"[0, 0, 0, 0]",3.5,1300.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.037337+00:00
707,bot,374839,2,3,"[0, 0, 0]",2.5,532.0,"[0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.048201+00:00
707,bot,374840,2,4,"[0, 0, 0, 0]",1.0,1300.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.055022+00:00
707,bot,374841,2,4,"[0, 0, 0, 0]",2.0,1040.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.085639+00:00
707,bot,374842,4,2,"[0, 0]",1.0,832.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.100107+00:00
707,bot,374843,4,3,"[0, 0, 0]",3.0,666.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.109077+00:00
707,bot,374844,4,1,[0],3.5,832.0,[0],45.0,4,8,1.0,[1],1.0,1757.0,2023-12-07 14:52:43.122675+00:00
707,bot,374845,5,2,"[0, 0]",2.0,1300.0,"[0, 0]",45.0,5,7,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.133764+00:00
707,bot,374846,5,1,[0],1.5,832.0,[0],45.0,5,7,1.0,[1],1.0,1757.0,2023-12-07 14:52:43.140830+00:00
707,bot,374847,5,2,"[0, 0]",1.0,1040.0,"[0, 0]",45.0,5,7,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.154907+00:00
707,bot,374848,2,4,"[0, 0, 0, 0]",3.5,532.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.166693+00:00
707,bot,374849,2,4,"[0, 0, 0, 0]",2.5,832.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.190038+00:00
707,bot,374850,2,4,"[0, 0, 0, 0]",1.5,666.0,"[0, 0, 0, 0]",45.0,2,10,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.203922+00:00
707,bot,374851,4,2,"[0, 0]",3.5,532.0,"[0, 0]",45.0,4,8,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.213786+00:00
707,bot,374852,4,3,"[0, 0, 0]",1.0,1040.0,"[0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.226264+00:00
707,bot,374853,4,4,"[0, 0, 0, 0]",3.0,532.0,"[0, 0, 0, 0]",45.0,4,8,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.272518+00:00
707,bot,374854,3,4,"[0, 0, 0, 0]",1.5,832.0,"[0, 0, 0, 0]",45.0,3,9,1.0,"[1, 1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.292718+00:00
707,bot,374855,3,2,"[0, 0]",3.5,532.0,"[0, 0]",45.0,3,9,1.0,"[1, 1]",1.0,1757.0,2023-12-07 14:52:43.448240+00:00
707,bot,374856,3,1,[0],3.5,532.0,[0],45.0,3,9,1.0,[1],1.0,1757.0,2023-12-07 14:52:43.484170+00:00
707,bot,374857,5,3,"[0, 0, 0]",1.5,832.0,"[0, 0, 0]",45.0,5,7,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.502239+00:00
707,bot,374858,5,3,"[0, 0, 0]",1.5,832.0,"[0, 0, 0]",45.0,5,7,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.609997+00:00
707,bot,374859,5,3,"[0, 0, 0]",2.0,832.0,"[0, 0, 0]",45.0,5,7,1.0,"[1, 1, 1]",1.0,1757.0,2023-12-07 14:52:43.650666+00:00
